x,y
598.5,219.5
524.5,694.5
680.5,588.5
640.5,284.5
704.5,725.5
628.5,404.5
628.5,818.5
657.5,370.5
140.5,767.5
347.5,814.5
630.5,701.5
637.5,297.5
710.5,386.5
341.5,683.5
382.5,493.5
430.5,913.5
455.5,667.5
490.5,339.5
500.5,673.5
513.5,703.5
711.5,412.5
292.5,701.5
383.5,750.5
390.5,611.5
279.5,725.5
389.5,783.5
417.5,737.5
431.5,840.5
444.5,630.5
450.5,659.5
450.5,684.5
502.5,796.5
503.5,339.5
523.5,847.5
530.5,760.5
539.5,753.5
605.5,247.5
622.5,598.5
674.5,600.5
655.5,439.5
355.5,830.5
676.5,340.5
736.5,635.5
278.5,698.5
401.5,902.5
402.5,113.5
460.5,288.5
484.5,649.5
486.5,752.5
504.5,291.5
507.5,630.5
589.5,714.5
617.5,761.5
638.5,723.5
649.5,467.5
671.5,502.5
688.5,625.5
381.5,36.5
436.5,973.5
504.5,227.5
432.5,126.5
497.5,206.5
518.5,230.5
586.5,634.5
590.5,361.5
664.5,186.5
129.5,737.5
203.5,740.5
258.5,830.5
326.5,468.5
336.5,691.5
341.5,801.5
362.5,678.5
369.5,314.5
389.5,932.5
414.5,164.5
415.5,929.5
428.5,564.5
433.5,751.5
445.5,777.5
450.5,251.5
452.5,197.5
455.5,288.5
476.5,675.5
484.5,747.5
496.5,803.5
510.5,847.5
518.5,742.5
520.5,622.5
549.5,720.5
566.5,715.5
567.5,393.5
624.5,408.5
628.5,596.5
640.5,637.5
656.5,496.5
660.5,480.5
662.5,570.5
663.5,379.5
713.5,358.5
721.5,412.5
798.5,262.5
501.5,878.5
535.5,784.5
538.5,682.5
565.5,755.5
520.5,291.5
651.5,181.5
677.5,490.5
706.5,634.5
100.5,688.5
168.5,668.5
217.5,690.5
336.5,480.5
351.5,732.5
366.5,859.5
384.5,779.5
390.5,826.5
393.5,921.5
397.5,982.5
398.5,895.5
398.5,919.5
410.5,967.5
420.5,878.5
428.5,880.5
437.5,701.5
437.5,965.5
439.5,590.5
441.5,626.5
442.5,657.5
444.5,622.5
446.5,194.5
446.5,265.5
446.5,675.5
450.5,507.5
460.5,781.5
464.5,495.5
464.5,682.5
470.5,496.5
478.5,696.5
478.5,709.5
487.5,331.5
490.5,807.5
491.5,689.5
496.5,338.5
501.5,684.5
504.5,755.5
510.5,782.5
512.5,874.5
517.5,848.5
518.5,270.5
528.5,273.5
535.5,833.5
537.5,806.5
546.5,380.5
547.5,827.5
561.5,329.5
565.5,742.5
584.5,699.5
590.5,575.5
599.5,678.5
606.5,721.5
609.5,658.5
612.5,223.5
618.5,533.5
624.5,282.5
625.5,202.5
627.5,542.5
633.5,196.5
645.5,401.5
649.5,456.5
653.5,344.5
655.5,544.5
656.5,750.5
659.5,691.5
664.5,369.5
665.5,522.5
672.5,372.5
676.5,312.5
676.5,606.5
691.5,386.5
716.5,616.5
722.5,604.5
742.5,269.5
763.5,301.5
765.5,278.5
772.5,285.5
782.5,277.5
826.5,271.5
142.5,640.5
164.5,696.5
331.5,723.5
343.5,891.5
369.5,506.5
381.5,733.5
384.5,131.5
395.5,94.5
442.5,170.5
462.5,296.5
469.5,474.5
537.5,488.5
643.5,469.5
646.5,736.5
692.5,448.5
712.5,302.5
781.5,259.5
385.5,669.5
408.5,819.5
623.5,732.5
711.5,579.5
723.5,485.5
694.5,551.5
130.5,709.5
142.5,687.5
145.5,676.5
167.5,735.5
170.5,601.5
177.5,635.5
188.5,635.5
233.5,696.5
315.5,643.5
351.5,124.5
359.5,876.5
363.5,93.5
363.5,759.5
369.5,891.5
371.5,868.5
374.5,781.5
379.5,46.5
381.5,824.5
383.5,42.5
387.5,288.5
387.5,683.5
392.5,69.5
398.5,162.5
400.5,933.5
412.5,591.5
417.5,212.5
421.5,863.5
426.5,516.5
427.5,807.5
428.5,956.5
446.5,306.5
448.5,199.5
449.5,768.5
469.5,486.5
469.5,532.5
470.5,733.5
474.5,693.5
479.5,768.5
512.5,767.5
539.5,846.5
546.5,390.5
546.5,423.5
559.5,722.5
571.5,759.5
578.5,319.5
598.5,762.5
600.5,648.5
612.5,722.5
617.5,600.5
621.5,347.5
621.5,821.5
632.5,587.5
635.5,582.5
